model,instrument,item,entropy,modal_share,n_distinct,n_trials
amazon/nova-pro-v1,8values,0,0.6402062942486826,0.5,4,60
amazon/nova-pro-v1,8values,1,0.0,1.0,1,60
amazon/nova-pro-v1,8values,2,0.9340680553754911,0.65,2,60
amazon/nova-pro-v1,8values,3,0.21084230031853216,0.9666666666666667,2,60
amazon/nova-pro-v1,8values,4,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,5,0.7429254423681528,0.48333333333333334,3,60
amazon/nova-pro-v1,8values,6,0.6396122848112903,0.6666666666666666,3,60
amazon/nova-pro-v1,8values,7,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,8,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,9,0.8112781244591328,0.75,2,60
amazon/nova-pro-v1,8values,10,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,11,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,12,0.0,1.0,1,60
amazon/nova-pro-v1,8values,13,0.2863969571159562,0.95,2,60
amazon/nova-pro-v1,8values,14,0.8366407419411673,0.7333333333333333,2,60
amazon/nova-pro-v1,8values,15,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,16,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,17,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,18,0.4138168503036338,0.9166666666666666,2,60
amazon/nova-pro-v1,8values,19,0.29904652296942125,0.9166666666666666,3,60
amazon/nova-pro-v1,8values,20,0.0,1.0,1,60
amazon/nova-pro-v1,8values,21,0.1222915970693747,0.9833333333333333,2,60
amazon/nova-pro-v1,8values,22,0.0,1.0,1,60
amazon/nova-pro-v1,8values,23,0.0,1.0,1,60
amazon/nova-pro-v1,8values,24,0.0,1.0,1,60
amazon/nova-pro-v1,8values,25,0.0,1.0,1,60
amazon/nova-pro-v1,8values,26,0.0,1.0,1,60
amazon/nova-pro-v1,8values,27,0.0,1.0,1,60
amazon/nova-pro-v1,8values,28,0.0,1.0,1,60
amazon/nova-pro-v1,8values,29,0.0,1.0,1,60
amazon/nova-pro-v1,8values,30,0.0,1.0,1,60
amazon/nova-pro-v1,8values,31,0.9007196798623592,0.6833333333333333,2,60
